file	descr	bubbles
nuages	un certain nombre de discussions	10;10;- génial !|30;35;... et tu vas où après ?|95;130;- dans le nuage, sud.
grille	en clignant des yeux, on arrive à voir plus loin	15;140;si j'arrive à passer...|230;25;en avion
reflet	mais pas assez longtemps	10;140;tüt|52;10;tüt|130;20;tüt
bridge	pour anticiper par la statistique	10;140;à gauche je crois|115;20;laissez moi passer|200;125;je vous en prie
mano	de questions que celles dont on connait la réponse	100;15;one buck for a super-sandwich ?
duluth	on va pas tous à la même vitesse	145;110;cigarette
vieilles	qu'une gigantesque entreprise à se foutre du monde	10;100;je te dis qu'il nous regarde|230;120;non|260;90;non
chutes	pour se souvenir	8;5;c'est inutile
viande2	on travaille énormément, hein. 	5;145;là- c'est fait|110;145;ici- ce qu'il te reste à faire
viviana	petit, il commençait toujours par les couleurs foncées	70;130;essaie Ͽ-Z. ça reviendra
cathedrale	ils n'ont plus rien a se dire depuis longtemps	5;5;on peut se donner rendez-vous|180;130;ok|210;30;je t'attends
voitures	...	100;30;- profond silence -
mileend	et puis	
negociation	unintentionnal blindness	60;10;beautiful|100;110;oh|120;125;thanks
viande1	estimer opportun	70;5;et hop|110;40;un peu de bon sens
vert	j'ai produit avec frénésie mais sans talent
